benchmark,algorithm,trace,t_total,t_exec,t_checkpoint,t_recharge,t_rest
qsort,schematic,10,3.95389586,0.02848489,0.01695626,3.90888373,-0.00042902000000007157
qsort,schematicO3,1,0.19355909,0.02848489,0.012877370000000006,0.15245282000000002,-0.0002559900000000323
qsort,schematicO3,2,0.70404302,0.02848489,0.012877370000000006,0.6629285,-0.0002477400000000726
qsort,schematicO3,3,0.30476535,0.02848489,0.012877370000000006,0.26364202000000003,-0.00023893000000004688
qsort,schematicO3,4,4.07941685,0.02848489,0.012877370000000006,4.0382944,-0.00023980999999952818
qsort,schematicO3,5,3.16773407,0.02848489,0.012877370000000006,3.12661137,-0.00023956000000015937
qsort,schematicO3,6,1.1167911499999998,0.02848489,0.012877370000000006,1.07567085,-0.00024196000000022838
qsort,schematicO3,7,3.0606501,0.02848489,0.012877370000000006,3.01953325,-0.0002454099999996892
qsort,schematicO3,8,2.38046666,0.02848489,0.012877370000000006,2.3393403999999998,-0.0002359999999995907
qsort,schematicO3,9,3.3818089700000002,0.02848489,0.012877370000000006,3.3406921,-0.00024538999999981076
qsort,schematicO3,10,0.19397182000000002,0.02848489,0.012877370000000006,0.15285943,-0.00024986999999997844
activity_recognition,milp,1,0.14432948,0.03357758,0.0022868300000000036,0.10849128,-2.6209999999991795e-05
activity_recognition,milp,2,0.61937518,0.03357758,0.0022868300000000036,0.58353473,-2.3959999999982606e-05
activity_recognition,milp,3,0.17873529999999999,0.03357758,0.0022868300000000036,0.14289293,-2.2040000000021764e-05
activity_recognition,milp,4,3.27305998,0.03357758,0.0022868300000000036,3.23721848,-2.2909999999924657e-05
activity_recognition,milp,5,1.8987318999999998,0.03357758,0.0022868300000000036,1.86289117,-2.3680000000129986e-05
activity_recognition,milp,6,1.03435934,0.03357758,0.0022868300000000036,0.9985161800000001,-2.1250000000132274e-05
activity_recognition,milp,7,2.05831777,0.03357758,0.0022868300000000036,2.02247507,-2.1710000000112195e-05
activity_recognition,milp,8,0.91812561,0.03357758,0.0022868300000000036,0.88227899,-1.7789999999955064e-05
activity_recognition,milp,9,2.6291882,0.03357758,0.0022868300000000036,2.59334423,-2.0439999999836977e-05
activity_recognition,milp,10,0.14443616,0.03357758,0.0022868300000000036,0.10859675,-2.5000000000004186e-05
activity_recognition,rockclimb,1,3.3642782700000002,0.03357758,0.12713280000000002,3.20465529,-0.0010873999999995998
activity_recognition,rockclimb,2,4.53743713,0.03357758,0.12713280000000002,4.37775753,-0.0010307800000004252
activity_recognition,rockclimb,3,4.04510595,0.03357758,0.12713280000000002,3.88535997,-0.0009644000000001707
activity_recognition,rockclimb,4,16.561704470000002,0.03357758,0.12713280000000002,16.40201307,-0.0010189799999966442
activity_recognition,rockclimb,5,12.46687773,0.03357758,0.12713280000000002,12.30719133,-0.0010239800000000077
